name	code	dtype	unit	description
hpi_coils_used	246	int32*	ord	"List of coils finally used when the transformation was computed"
hpi_digitization_order	247	int32*	ord	"Which Isotrak digitization point corresponds to each of the coils energized"
ch_scan_no	250	int32	ord	"Channel scan number. Corresponds to fiffChInfoRec.scanNo field"
ch_logical_no	251	int32	ord	"Channel logical number. Corresponds to fiffChInfoRec.logNo field"
ch_kind	252	enum(ch_type)	-	"Channel type. Corresponds to fiffChInfoRec.kind field"
ch_range	253	float	rel	"Conversion from recorded number to (possibly virtual) voltage at the output"
ch_cal	254	float	rel	"Calibration coefficient from output voltage to some real units"
ch_pos	255	ch_pos_rec	-	"Channel position"
ch_unit	256	enum(unit)	-	"Unit of the data"
ch_unit_mul	257	int32	rel	"Unit multiplier exponent."
ch_dacq_name	258	string	-	"Name of the channel in the data acquisition system. Corresponds to fiffChInfoRec.name."
sss_frame	263	int32	-	"SSS expansion coordinate frame"
sss_job	264	enum(sss_job)	-	"SSS job selection"
sss_origin	265	float*(3)	m	"SSS expansion origin"
sss_ord_in	266	int32	-	"SSS inside expansion order"
sss_ord_out	267	int32	-	"SSS outside expansion order"
sss_nmag	268	int32	-	"SSS number of MEG channels"
sss_components	269	int32*	-	"SSS expansion component selections"
sss_cal_chans	270	int32[*,*]	-	"SSS calibration ch nrs and types"
sss_cal_corrs	271	float[*,*]	-	"SSS calibration adjustments"
sss_st_corr	272	float	-	"SSS ST subspace correlation"
sss_base_in	273	double[*,*]	-	"SSS inside basis matrix"
sss_base_out	274	double[*,*]	-	"SSS outside basis matrix"
sss_base_virt	275	double[*,*]	-	"SSS virtual basis matrix"
sss_norm	276	double	-	"SSS froebious norm of inside basis"
sss_iterate	277	int32	-	"SSS nr of iterations"
sss_nfree	278	int32	-	"SSS number of degrees of freedom"
sss_st_length	279	float	-	"SSS ST buffer length"
gantry_type	280	enum(gantry_type)	-	"The type of the gantry"
gantry_model	281	string	-	"The modal of the gantry"
gantry_angle	282	int	-	"Tilt angle of the dewar in degrees"
sss_operator	290	double[*,*]	-	"SSS operator matrix"
sss_psinv	291	double[*,*]	-	"SSS pseudoinverse matrix"
sss_ctc	292	double[*,*]	-	"SSS crosstalk and cal correction"
data_buffer	300	int16|int32|float	-	"Buffer containing measurement data"
data_skip	301	int32	card	"Data skip in buffers"
epoch	302	float[*,*]|oldpack	-	"Buffer containing one epoch and channel"
data_skip_samp	303	int32	card	"Data skip in samples"
time_stamp	305	int32*(3)	-	"Measurement time stamp, first element seconds, second microseconds, and third sample number"
ch_coil_type	350	enum(coil)	-	"Coil type"
ch_coord_frame	351	enum(coord)	-	"Channel coordinate frame"
subj_id	400	int32	ord	"Subject ID"
subj_first_name	401	string	-	"First name of the subject"
subj_middle_name	402	string	-	"Middle name of the subject"
subj_last_name	403	string	-	"Last name of the subject"
subj_birth_day	404	julian	-	"Birthday of the subject"
subj_sex	405	enum(sex)	-	"Sex of the subject"
subj_hand	406	enum(hand)	-	"Handedness of the subject"
subj_weight	407	float	kg	"Weight of the subject"
subj_height	408	float	m	"Height of the subject"
subj_comment	409	string	-	"Comment about the subject"
subj_his_id	410	string	-	"ID used in the Hospital Information System"
proj_id	500	int32	-	"Project ID"
proj_name	501	string	-	"Project name"
proj_aim	502	string	-	"Project description"
proj_persons	503	string	-	"Persons participating in the project"
proj_comment	504	string	-	"Comment about the project"
event_channels	600	int32*	ord	"Event channel numbers"
event_list	601	int32*(n*3)	-	"List of events, 3 integers per event: [number of samples, before, after]"
event_channel	602	string	-	"Event channel name"
event_bits	603	int32*(4)	-	"Event bits array describing transition, 4 integers: [from_mask, from_state, to_mask, to_state"
squid_bias	701	int32	arb	"Bias setting of a squid"
squid_offset	702	int32	arb	"Offset setting of a squid"
squid_gate	703	int32	arb	"Gate setting of a squid"
decoupler_matrix	800	sparse	-	"Cross-talk correction matrix"
ctm_open_amps	801	float[*,*]	-	"ctm open-loop amplitudes"
ctm_open_phase	802	float[*,*]	-	"ctm open-loop phases"
ctm_clos_amps	803	float[*,*]	-	"ctm closed-loop amplitudes"
ctm_clos_phase	804	float[*,*]	-	"ctm closed-loop phases"
ctm_clos_dote	805	float[*,*]	-	"ctm closed-loop dot products"
ctm_open_dote	806	float[*,*]	-	"ctm open-loop dot products"
ctm_exci_freq	807	float	Hz	"ctm excitation frequency"
ref_path	1101	string	-	"A referenced file name"
volume_type	2001	enum(volume_type)	-	"Type of the volume"
mri_source_format	2002	enum(mri_format)	-	"File format of referenced image data"
mri_pixel_encoding	2003	enum(pixel_encoding)	-	"Pixel type of the stored data"
mri_pixel_data_offset	2004	int32	ord	"Offset to the pixel data in the referenced data"
mri_pixel_scale	2005	float	rel	"Scaling factor from the disk data to unsigned char format"
mri_pixel_data	2006	byte*	rel	"Pixel data stored in the Fiff file"
mri_pixel_overlay_encoding	2007	enum(mri_pixel)	-	"Pixel type of the stored overlay data"
mri_pixel_overlay_data	2008	byte*	rel	"Overlay data stored in the Fiff file"
mri_bounding_box	2009	float	m	"<obsolete>"
mri_width	2010	int32	card	"Number of voxels in x direction"
mri_width_m	2011	float	m	"Size of the volume in x direction"
mri_height	2012	int32	card	"Number of voxels in y direction"
mri_height_m	2013	float	m	"Size of the volume in y direction"
mri_depth	2014	int32	card	"Number of voxels in z direction"
mri_depth_m	2015	float	m	"Size of the volume in z direction"
mri_thickness	2016	float	m	"Slice thickness"
mri_scene_aim	2017	float*(3)	rel	"Direction to which the scene snapshot is taken"
mri_calibration_scale	2018	float	rel	"Scale from disk values to real world values"
mri_calibration_offset	2019	float	rel	"Offset for scaling to real world values"
mri_orig_source_path	2020	string	-	"Path to the source file, where this data is derived from."
mri_orig_source_format	2021	enum(mri_format)	-	"Format of the source file."
mri_orig_pixel_encoding	2022	enum(pixel_encoding)	-	"Pixel type of the source file"
mri_orig_pixel_data_offset	2023	int32	ord	"Offset to the pixel data in the source file"
mri_time	2024	float	s	"Time point of the current volume"
mri_voxel_data	2030	variable	-	"Volumetric image data"
mri_voxel_encoding	2031	enum(pixel_encoding)	-	"Encoding for voxel data"
voxel_nchannels	2032	int32	ord	"Number of channels in a voxel"
mri_diffusion_weight	2040	float	s/m^2	"Diffusion weigting factor a la LeBihan [s/(m^2)]"
mri_diffusion_param	2041	enum(diffusion_param)	-	"What diffusion parameter is mapped in the volume"
mri_mrilab_setup	2100	<internal>	-	"Used internally."
mri_seg_region_id	2200	<internal>	-	"Used internally."
conductor_model_kind	3000	enum(cond_model)	-	"What kind of conductor model"
sphere_origin	3001	float*(3)	m	"Origin of sphere model"
sphere_coord_frame	3002	enum(coord)	-	"Which coordinate frame are we using?"
sphere_layers	3003	layer_struct*	-	"Array of layer structures"
bem_surf_id	3101	enum(bem_surf_id)	-	"surface type"
bem_surf_name	3102	string	-	"surface name"
bem_surf_nnode	3103	int32	card	"Number of nodes on a surface"
bem_surf_ntri	3104	int32	card	"Number of triangles on a surface"
bem_surf_nodes	3105	float*	card	"surface nodes (nnode,3)"
bem_surf_triangles	3106	int32*	card	"surface triangles (ntri,3)"
bem_surf_normals	3107	float*	rel	"surface node normal unit vectors (nnode,3)"
bem_surf_curvs	3108	float*	1/m	"surface node first principal curvature unit vectors (nnode,3)"
bem_surf_curv_values	3109	float	1/m	"the two curvature values (nnode,2)"
bem_pot_solution	3110	float[*,*]	-	"The solution matrix"
bem_approx	3111	enum(bem_approx)	-	"Approximation method for bem computation"
bem_coord_frame	3112	enum(coord)	-	"The coordinate frame of the model"
bem_sigma	3113	float	S/m	"Conductivity of a compartment"
source_dipole	3201	float*(6)	m,Am	"Dipole definition. The dipole is six floats (position and dipole moment)"
beamformer_instructions	3300	string	-	"Contents of the beamformer instruction file (prototype software)"
xfit_lead_products	3401	double*	-	"Lead field matrix data"
xfit_map_products	3402	double[*,*]	-	"Mapping to isocontour map"
xfit_grad_map_products	3403	double[*,*]	-	"Mapping to gradient map"
xfit_vol_integration	3404	bool	-	"Was volume integration used"
xfit_integration_radius	3405	float	m	"Radius of integration sphere in MNE calculations"
xfit_conductor_model_name	3406	string	-	"Name of the conductor model used"
xfit_conductor_model_trans_name	3407	string	-	"Name of the model coordinate transform file"
xfit_cont_surf_type	3408	enum(map_surf)	-	"Contour surface type in Xfit"
proj_item_kind	3411	enum(proj_item)	-	"Type of the projection defintion. *"
proj_item_time	3412	float	s	"Time of the field sample (only for proj_item_field)"
proj_item_ign_chs	3413	int32*	ord	"Channels ignored in the projection definition"
proj_item_nvec	3414	int32	card	"Number of projection vectors."
proj_item_vectors	3415	float[*,*]	rel	"Projection vectors"
proj_item_definition	3416	enum(proj_by)	-	"How the projection is defined (subspace or its complement)"
proj_item_ch_name_list	3417	string	-	"Names of the channels of the projection vectors"
xplotter_layout	3501	string	-	"Xplotter layout tag"
vol_id	4001	?	-	"Id of a volume"
vol_name	4002	string	-	"Name of a volume"
vol_owner_id	4003	int32	ord	"User id of the owner"
vol_owner_name	4004	string	-	"User name of the owner"
vol_owner_real_name	4005	string	-	"User name of the owner"
vol_type	4006	enum(vol_type)	-	"Volume type"
vol_host	4007	string	-	"Where does the volume reside"
vol_real_root	4008	string	-	"The root of the volume in in the machine where the file system is mounted"
vol_symbolic_root	4009	string	-	"Symbolic link to the root of the volume (if any) system is mounted"
vol_mount_point	4010	string	-	"Last mount point of the volume"
vol_blocks	4011	int32	card	"Total # of blocks"
vol_free_blocks	4012	int32	card	"Number of free blocks"
vol_avail_blocks	4013	int32	card	"Number of free blocks available to non-superuser"
vol_block_size	4014	int32	card	"Block size in bytes"
vol_directory	4015	void	-	"Contents of the volume in a special format; the data type will be FIFF_VOID"
mem_data_buffer	10300	int16*	-	"Databuffer to be saved into a file"
